,name,album,artists,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,time_signature,year,minmax_duration,minmax_tempo
83,Who Will Pray For Junior,0.6789189189189189,0.46907532149418246,0.0,0.7123711340206185,0.267,0.18181818181818182,-3.0925828511309836,1.0,0.03357588357588358,0.8002008032128515,3.4200000000000005e-05,0.118,0.3353658536585366,0.8,0.9896039603960396,0.0388834514024998,0.554922602294869
84,Rosemary,0.6789189189189189,0.46907532149418246,0.0,0.6463917525773196,0.126,0.6363636363636364,-3.883219358232509,1.0,0.0367983367983368,0.9317269076305221,0.0,0.1159999999999999,0.15040650406504064,0.8,0.9896039603960396,0.0290579823263796,0.5514406076351303
85,Look Away,0.6789189189189189,0.46907532149418246,0.0,0.43917525773195876,0.133,0.8181818181818182,-3.1749079431877956,1.0,0.032744282744282746,0.822289156626506,0.0,0.0994,0.20833333333333331,0.8,0.9896039603960396,0.0539574851887,0.597175615212528
86,Ave Maria Grotto,0.6789189189189189,0.46907532149418246,0.0,0.3731958762886598,0.306,0.9090909090909091,-3.192793266701736,1.0,0.03440748440748441,0.7048192771084338,0.000183,0.0969,0.21646341463414634,0.8,0.9896039603960396,0.0498123860708943,0.5084478963700657
87,Hollywood,0.572972972972973,0.2290263319044703,0.0,0.4144329896907217,0.141,0.5454545454545454,-4.41031036296686,1.0,0.07203742203742204,0.6576305220883535,0.00489,0.13,0.23272357723577225,0.8,0.9955445544554455,0.0111752321531372,0.5671411560943928
88,Tired of Waiting,0.572972972972973,0.2290263319044703,0.0,0.38969072164948443,0.835,0.7272727272727273,-1.4379274066280907,1.0,0.06226611226611227,0.00013654618473895583,0.000268,0.411,0.34756097560975613,0.8,0.9955445544554455,0.0395666750087343,0.7040259435664286
89,America,0.572972972972973,0.2290263319044703,0.0,0.49896907216494846,0.747,0.18181818181818182,-1.7645975802209362,0.0,0.05831600831600831,0.0006335341365460843,0.034,0.123,0.36178861788617883,0.8,0.9955445544554455,0.031593475346712,0.3829788193692718
90,Desperate,0.572972972972973,0.2290263319044703,0.0,0.3422680412371134,0.6559999999999999,0.5454545454545454,-1.9842188321935823,1.0,0.04490644490644491,0.0002851405622488956,0.0204,0.305,0.19308943089430894,0.6,0.9955445544554455,0.0497775310948509,0.7046348415963051
91,All I See,0.572972972972973,0.2290263319044703,0.0,0.38969072164948443,0.895,0.7272727272727273,-1.7477643345607574,1.0,0.0972972972972973,6.134538152610441e-05,0.0,0.3229999999999999,0.42073170731707316,0.8,0.9955445544554455,0.0274880216992874,0.7317105073248176
92,Give,0.572972972972973,0.2290263319044703,0.0,0.32577319587628867,0.916,0.7272727272727273,-1.4918463966333513,1.0,0.04708939708939709,2.5100401606425703e-06,0.307,0.153,0.8058943089430893,0.8,0.9955445544554455,0.033073572907607,0.7771388107093887
93,Pain,0.572972972972973,0.2290263319044703,0.0,0.5247422680412371,0.603,0.7272727272727273,-1.7080483955812729,1.0,0.05800415800415801,0.0018072289156626507,3.1e-05,0.203,0.44918699186991873,0.8,0.9955445544554455,0.0566845979825411,0.3789104784585408
94,Check,0.9491891891891892,0.9993876301285977,0.0,0.5649484536082474,0.949,0.0,-1.7306680694371384,1.0,0.0812889812889813,0.00022289156626506025,2.13e-05,0.102,0.7957317073170731,0.8,0.9891089108910891,0.0239083661027924,0.6047259507829977
95,Get Back,0.9491891891891892,0.9993876301285977,0.0,0.6525773195876289,0.907,0.8181818181818182,-1.6023145712782747,1.0,0.05748440748440749,0.002068273092369478,3.65e-05,0.0689,0.8221544715447155,0.8,0.9891089108910891,0.0348153305730174,0.5716018979577109
96,The Real Me,0.9491891891891892,0.9993876301285977,0.0,0.634020618556701,0.894,0.6363636363636364,-1.593897948448185,1.0,0.04386694386694387,0.0005030120481926706,0.0004769999999999,0.106,0.7073170731707317,0.8,0.9891089108910891,0.0390618560192148,0.5988534675615212
97,Someday,0.9491891891891892,0.9993876301285977,0.0,0.5896907216494847,0.969,0.8181818181818182,-1.6186217780115728,1.0,0.07515592515592516,0.00022690763052208836,0.0,0.212,0.6534552845528455,0.8,0.9891089108910891,0.0298332164617904,0.5144827523995092
98,Waste of Mind,0.9491891891891892,0.9993876301285977,0.0,0.6206185567010309,0.911,0.8181818181818182,-1.6391372961599158,1.0,0.05415800415800416,6.345381526104418e-05,0.00233,0.0514,0.8617886178861789,0.8,0.9891089108910891,0.0349210518273671,0.5420455365519232
99,Feel This Way,0.9491891891891892,0.9993876301285977,0.0,0.5814432989690721,0.947,0.8181818181818182,-1.6067859021567596,1.0,0.09407484407484408,0.0015763052208835342,0.0,0.0955,0.714430894308943,0.8,0.9891089108910891,0.0368747475698565,0.5008028433282817
